"Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,0.1,0,0
0,0,0,0.1,0.002,0
0,0,0,0.1,0,0
0,0,0,0.1,0.002,0
0,0,0,0.1,0,0
0,0,0,0.1,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.11,0,0
0,0,0,0.11,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.12,0,0
0,0,0,0.12,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0,0.064,0
0,0,0,0,0.065,0
0,0,0,0,0.066,0
0,0,0,0,0.067,0
0,0,0,0.002,0.064,0
0,0,0,0.002,0.065,0
0,0,0,0.002,0.066,0
0,0,0,0.002,0.067,0
0,0,0,0,0.068,0
0,0,0,0,0.069,0
0,0,0,0,0.07,0
0,0,0,0,0.071,0
0,0,0,0.002,0.068,0
0,0,0,0.002,0.069,0
0,0,0,0.002,0.07,0
0,0,0,0.002,0.071,0
0,0,0,0,0.072,0
0,0,0,0,0.073,0
0,0,0,0,0.074,0
0,0,0,0,0.075,0
0,0,0,0.002,0.072,0
0,0,0,0.002,0.073,0
0,0,0,0.002,0.074,0
0,0,0,0.002,0.075,0
0,0,0,0,0.076,0
0,0,0,0,0.077,0
0,0,0,0,0.078,0
0,0,0,0,0.079,0
0,0,0,0.002,0.076,0
0,0,0,0.002,0.077,0
0,0,0,0.002,0.078,0
0,0,0,0.002,0.079,0
0,0,0,0,0.08,0
0,0,0,0,0.081,0
0,0,0,0,0.082,0
0,0,0,0,0.083,0
0,0,0,0.002,0.08,0
0,0,0,0.002,0.081,0
0,0,0,0.002,0.082,0
0,0,0,0.002,0.083,0
0,0,0,0,0.084,0
0,0,0,0,0.085,0
0,0,0,0,0.086,0
0,0,0,0,0.087,0
0,0,0,0.002,0.084,0
0,0,0,0.002,0.085,0
0,0,0,0.002,0.086,0
0,0,0,0.002,0.087,0
0,0,0,0,0.088,0
0,0,0,0,0.089,0
0,0,0,0,0.09,0
0,0,0,0,0.091,0
0,0,0,0.002,0.088,0
0,0,0,0.002,0.089,0
0,0,0,0.002,0.09,0
0,0,0,0.002,0.091,0
0,0,0,0,0.092,0
0,0,0,0,0.093,0
0,0,0,0,0.094,0
0,0,0,0,0.095,0
0,0,0,0.002,0.092,0
0,0,0,0.002,0.093,0
0,0,0,0.002,0.094,0
0,0,0,0.002,0.095,0
0,0,0,0,0.096,0
0,0,0,0,0.097,0
0,0,0,0,0.098,0
0,0,0,0,0.099,0
0,0,0,0.002,0.096,0
0,0,0,0.002,0.097,0
0,0,0,0.002,0.098,0
0,0,0,0.002,0.099,0
0,0,0,0,0.1,0
0,0,0,0,0.1,0
0,0,0,0,0.1,0
0,0,0,0,0.1,0
0,0,0,0.002,0.1,0
0,0,0,0.002,0.1,0
0,0,0,0.002,0.1,0
0,0,0,0.002,0.1,0
0,0,0,0,0.1,0
0,0,0,0,0.1,0
0,0,0,0,0.11,0
0,0,0,0,0.11,0
0,0,0,0.002,0.1,0
0,0,0,0.002,0.1,0
0,0,0,0.002,0.11,0
0,0,0,0.002,0.11,0
0,0,0,0,0.11,0
0,0,0,0,0.11,0
0,0,0,0,0.11,0
0,0,0,0,0.11,0
0,0,0,0.002,0.11,0
0,0,0,0.002,0.11,0
0,0,0,0.002,0.11,0
0,0,0,0.002,0.11,0
0,0,0,0,0.11,0
0,0,0,0,0.11,0
0,0,0,0,0.11,0
0,0,0,0,0.12,0
0,0,0,0.002,0.11,0
0,0,0,0.002,0.11,0
0,0,0,0.002,0.11,0
0,0,0,0.002,0.12,0
0,0,0,0,0.12,0
0,0,0,0,0.12,0
0,0,0,0,0.12,0
0,0,0,0,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0,0.12,0
