Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
-2.5523,0.52884,0.89915,5.658,10.431,7.3822
-4.0247,0.16085,0.3524,5.6546,10.525,7.369
-1.0312,1.4411,0.099475,6.5623,10.464,7.2227
0.73882,0.70995,-0.60446,10.232,10.582,7.2799
1.7275,-2.4283,0.30756,10.732,9.287,7.7235
-1.0884,-2.7445e-13,-3.3057,10.202,9,7.5675
1.8475,-0.47306,-0.69811,10.387,10.459,7.3783
-0.20505,-3.6782e-14,-1.0555,9.8094,9,7.4557
1.8475,0.47306,-0.69811,10.387,7.5413,7.3783
1.7275,2.4283,0.30756,10.732,8.713,7.7235
0.73882,-0.70995,-0.60446,10.232,7.4179,7.2799
3.6827,1.445e-12,-1.2077,11.369,9,7.7315
2.5523,0.52884,0.89915,12.342,10.431,7.3822
4.0247,0.16085,0.3524,12.345,10.525,7.369
1.0312,1.4411,0.099475,11.438,10.464,7.2227
3.4704,-1.5445,-0.30354,11.349,10.369,7.2354
1.9983,2.1008e-12,-1.9802,11.01,9,7.4753
3.005,4.036e-13,-0.4434,11.773,9,7.8153
1.9491,-7.6862e-13,0.72865,11.754,9,7.7217
5.8233,-4.434e-13,-2.1251,12.254,9,7.3479
4.0247,-0.16085,0.3524,12.345,7.475,7.369
2.5523,-0.52884,0.89915,12.342,7.5695,7.3822
1.0312,-1.4411,0.099475,11.438,7.5358,7.2227
3.4704,1.5445,-0.30354,11.349,7.6313,7.2354
-9.3618e-14,1.7932,2.5312,9,11.322,7.731
-4.5776e-13,3.1388,0.27051,9,11.095,7.9262
-5.4643e-13,2.6205,-0.79599,9,11.286,7.7551
-0.54065,2.8794,-1.0625,7.8266,10.939,7.2456
-1.4964e-13,1.1598,-1.6624,9,10.942,7.7324
-3.4442e-13,-3.1388,0.27051,9,6.9051,7.9262
-6.4604e-16,-1.7932,2.5312,9,6.6781,7.731
-5.4196e-13,-2.6205,-0.79599,9,6.7138,7.7551
-0.54065,-2.8794,-1.0625,7.8266,7.0612,7.2456
-3.6005e-15,-1.1598,-1.6624,9,7.058,7.7324
0.54065,2.8794,-1.0625,10.173,10.939,7.2456
0.54065,-2.8794,-1.0625,10.173,7.0612,7.2456
-6.9167,5.7789e-13,-0.35437,3.6382,9,7.3303
6.9167,7.3749e-13,-0.35437,14.362,9,7.3303
-3.7047,-4.7056,0.56426,5.0648,5.4842,7.3366
-3.7047,4.7056,0.56426,5.0648,12.516,7.3366
3.7047,4.7056,0.56426,12.935,12.516,7.3366
3.7047,-4.7056,0.56426,12.935,5.4842,7.3366
-5.2244e-14,6.9321,3.3301,9,13.403,7.3725
-0.54551,4.9374,3.2897,8.0596,12.992,7.3634
-2.4403e-13,-6.9321,3.3301,9,4.5966,7.3725
-0.54551,-4.9374,3.2897,8.0596,5.0076,7.3634
0.54551,4.9374,3.2897,9.9404,12.992,7.3634
0.54551,-4.9374,3.2897,9.9404,5.0076,7.3634
-2.9735,-5.4002,1.9291,6.664,5.0175,7.3632
