Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
0,0,-1.9564,15,8.25,8.8048
0,0,-1.9564,15,8.25,8.0548
0,0,-1.9564,15,8.25,7.3048
0,0,-1.9564,15,7.5,7.3048
0,0,-1.9564,15,7.5,8.0548
0,0,-1.9564,15,7.5,8.8048
0,0,-1.9564,15,9,7.3048
0,0,-1.9564,15,9,8.0548
0,0,-1.9564,15,9,8.8048
0,0,-1.9564,15.75,8.25,8.8048
0,0,-1.9564,15.75,8.25,8.0548
0,0,-1.9564,15.75,8.25,7.3048
0,0,-1.9564,15.75,7.5,7.3048
0,0,-1.9564,15.75,7.5,8.0548
0,0,-1.9564,15.75,7.5,8.8048
0,0,-1.9564,15.75,9,7.3048
0,0,-1.9564,15.75,9,8.0548
0,0,-1.9564,15.75,9,8.8048
0,0,-1.9564,15,8.25,6.5548
0,0,-1.9564,15,8.25,5.8048
0,0,-1.9564,15,7.5,5.8048
0,0,-1.9564,15,7.5,6.5548
0,0,-1.9564,15,9,5.8048
0,0,-1.9564,15,9,6.5548
0,0,-1.9564,15.75,8.25,6.5548
0,0,-1.9564,15.75,8.25,5.8048
0,0,-1.9564,15.75,7.5,5.8048
0,0,-1.9564,15.75,7.5,6.5548
0,0,-1.9564,15.75,9,5.8048
0,0,-1.9564,15.75,9,6.5548
0,0,-1.9564,15,8.25,5.0548
0,0,-1.9564,15,8.25,4.3048
0,0,-1.9564,15,8.25,3.5548
0,0,-1.9564,15,7.5,3.5548
0,0,-1.9564,15,7.5,4.3048
0,0,-1.9564,15,7.5,5.0548
0,0,-1.9564,15,9,3.5548
0,0,-1.9564,15,9,4.3048
0,0,-1.9564,15,9,5.0548
0,0,-1.9564,15.75,8.25,5.0548
0,0,-1.9564,15.75,8.25,4.3048
0,0,-1.9564,15.75,8.25,3.5548
0,0,-1.9564,15.75,7.5,3.5548
0,0,-1.9564,15.75,7.5,4.3048
0,0,-1.9564,15.75,7.5,5.0548
0,0,-1.9564,15.75,9,3.5548
0,0,-1.9564,15.75,9,4.3048
0,0,-1.9564,15.75,9,5.0548
0,0,-1.9564,15,8.25,2.8048
0,0,-1.9564,15,8.25,2.0548
0,0,-1.9564,15,7.5,2.0548
0,0,-1.9564,15,7.5,2.8048
0,0,-1.9564,15,9,2.0548
0,0,-1.9564,15,9,2.8048
0,0,-1.9564,15.75,8.25,2.8048
0,0,-1.9564,15.75,8.25,2.0548
0,0,-1.9564,15.75,7.5,2.0548
0,0,-1.9564,15.75,7.5,2.8048
0,0,-1.9564,15.75,9,2.0548
0,0,-1.9564,15.75,9,2.8048
0,0,-1.9564,15,8.25,1.3048
0,0,-1.9564,15,8.25,0.55485
0,0,-1.9564,15,7.5,0.55485
0,0,-1.9564,15,7.5,1.3048
0,0,-1.9564,15,9,0.55485
0,0,-1.9564,15,9,1.3048
0,0,-1.9564,15.75,8.25,1.3048
0,0,-1.9564,15.75,8.25,0.55485
0,0,-1.9564,15.75,7.5,0.55485
0,0,-1.9564,15.75,7.5,1.3048
0,0,-1.9564,15.75,9,0.55485
0,0,-1.9564,15.75,9,1.3048
0,0,-1.9564,15,7.5,9.5548
0,0,-1.9564,15,7.5,10.305
0,0,-1.9564,15,9,9.5548
